,time,result,fleet size
0,719.3275654315948,5473.920349927718,29
1,1213.6113007068634,5148.0522693466655,25
2,1427.094845533371,4971.788013757861,28
3,1473.0986967086792,4735.676186319053,27
4,908.6102967262268,5567.919383119139,28
5,1801.174664735794,4621.084551008432,27
6,1370.2153089046478,4927.775940433054,27
7,1578.2805314064026,5062.416219900947,27
8,859.222490310669,4805.260682326386,27
9,925.560955286026,5527.915466982547,28
10,1174.2473163604736,5107.340877965107,28
11,1221.8678193092346,5274.716933396234,27
12,1533.4815635681152,5167.820281324191,26
13,1749.3466401100159,4919.61823808388,27
14,1193.0410487651825,5552.422301633976,26
15,1801.1408123970032,4750.7971260022605,27
16,1086.87708568573,5217.396345550829,27
17,1793.0271096229553,4983.755424618662,27
18,1359.6256313323975,4695.140651283373,25
19,1712.2437887191772,5095.51348666357,27
