,time,lower_bounds,upper_bounds,fleet size
0,67.84725403785706,170.58303509469226,170.58303509469226,1.999999998171282
1,47.3858060836792,202.89738160813894,202.89738160813894,1.9999999958159596
2,208.19084000587463,198.17740255743564,198.17740255743564,3.0
3,65.04573392868042,189.33727306612744,189.33727306612744,2.0000006144990525
4,357.5955078601837,174.34773362740611,174.34773362740611,2.0
5,43.925837993621826,210.85097914404108,210.85097914404108,1.999999995204845
6,36.28001594543457,187.87404553197229,187.87404553197229,2.0
7,26.073360919952393,219.961380863824,219.961380863824,2.0
8,13.973769903182983,171.8695469554623,171.8695469554623,2.0
9,18.89304280281067,187.57440542416128,187.57440542416128,2.0
10,39.66691994667053,258.5897225579565,258.5897225579565,2.0
11,326.7733840942383,181.33834659058994,181.33834659058994,1.9999999984544317
12,284.2796308994293,194.0788319084519,194.0788319084519,2.0
13,22.997705936431885,162.37130142660698,162.37130142660698,2.0
14,118.26472091674805,126.76815617362877,126.76815617362877,2.0
15,383.435889005661,186.31313519068067,186.31313519068067,2.0
16,10.316564798355103,158.68479976654,158.68479976654,2.0
17,175.60919499397278,161.44118370645919,161.44118370645919,2.0
18,35.48280096054077,168.81598120696876,168.81598120696876,2.0
19,384.0627291202545,167.54076412227354,167.54076412227354,1.9999999963397515
