,time,result,fleet size
0,1115.899821281433,2651.079779123708,14
1,583.500410079956,2858.321483885952,13
2,478.0571403503418,2367.397931142462,13
3,575.524736404419,2366.711451568326,14
4,1723.1005883216858,2173.2991315876457,14
5,852.6667230129242,2739.8661037548973,15
6,1043.524794101715,2429.273775808395,13
7,946.7171354293823,2513.5966730755044,13
8,869.1148114204407,2205.454428906553,13
9,1161.740207195282,2380.9969791382355,12
10,525.4581437110901,2910.198641898216,15
11,1052.07484126091,2359.8884970391596,13
12,912.8061423301697,2627.9221721260124,14
13,543.1249995231628,2962.9382046454066,15
14,715.3477468490601,2787.295850630396,15
15,500.73814153671265,2489.27412837034,13
16,424.14970326423645,3006.9643068532323,15
17,805.4175975322723,2573.233100533737,13
18,334.87225008010864,2377.4167311751994,14
19,489.18204259872437,2901.4895750977116,14
