,time,result,fleet size
0,1801.5919511318207,5418.952463383219,28
1,1801.0815284252167,5130.392247917264,25
2,1801.6065063476562,5017.122757373413,28
3,1702.6340761184692,4849.149748132404,27
4,1354.2772755622864,5376.531021542534,28
5,1592.1690554618835,4848.8896736117795,27
6,1802.9206199645996,5174.434161403655,27
7,1179.2959496974945,5312.922718642316,28
8,1802.5323646068573,4698.549481237352,26
9,1801.4024801254272,5588.800424749766,28
10,1456.7000043392181,5160.520509067507,27
11,1187.0377943515778,5645.2785031209505,27
12,1802.8646924495697,5386.380860570122,27
13,1204.0660133361816,5049.061886597328,28
14,1779.3250234127045,5120.023600528513,27
15,1802.886867761612,5119.038628938513,27
16,1339.6494777202606,5725.868240150763,27
17,1802.4096200466156,5065.232937715153,27
18,1801.1015040874481,4767.0436777158475,25
19,1802.0597848892212,5415.066568010243,27
