,time,result,fleet size
0,619.1215279102325,4765.508015892418,28
1,1644.5001673698425,4335.358417155325,25
2,1064.1451444625854,4839.260456312142,28
3,1213.436334848404,4557.725544277944,27
4,1133.3690252304077,4582.060678700616,27
5,1115.3647682666779,4171.008213653457,27
6,1801.7333920001984,4324.927834215215,27
7,1742.8827958106995,4545.435159921236,27
8,1068.6432240009308,4254.708824502776,26
9,1454.165857076645,4773.818191303357,27
10,1489.799255847931,4313.3962644513485,27
11,741.4105570316315,5259.022550641486,25
12,815.0829753875732,5073.601191483696,26
13,1801.32617521286,4448.808443506174,27
14,897.2106902599335,4596.18377120802,26
15,1801.248461008072,4619.797313382069,27
16,1540.8996489048004,4486.744099244057,26
17,1346.604148864746,4346.933090040123,27
18,901.5023264884949,4006.224165470979,25
19,741.5676510334015,4588.353831922203,27
