,time,result,fleet size
0,1625.6858727931976,4563.597400296085,28
1,1738.0326147079468,4214.957481100772,24
2,1801.742393732071,4584.306641666257,27
3,1507.420637845993,4242.7789284153605,26
4,739.0232403278351,4901.78399751618,27
5,1801.9404299259186,4110.781815597525,27
6,1712.0653748512268,4668.7596007460825,27
7,1801.2643961906433,4366.245283893029,27
8,898.9280157089233,4565.7543935295835,26
9,1271.7951257228851,5117.629356094546,28
10,1802.0805864334106,4283.749009276706,27
11,993.8793656826019,4968.329478527728,26
12,817.96537733078,4751.734364442745,26
13,1050.8222515583038,4458.111018309993,28
14,1770.4068081378937,4379.639416244454,26
15,1217.029489994049,4713.270195800956,27
16,628.4743993282318,5035.670922470121,27
17,1243.5570170879364,4599.429972565431,27
18,1526.081870317459,4289.31576498096,25
19,1123.2520127296448,4838.94634089399,27
