,time,lower_bounds,upper_bounds,fleet size
0,1800.140321969986,766.1998842732761,1309.8954171917,14.0
1,1800.0320529937744,711.7006521131402,1208.4960024337083,13.0
2,1800.21879196167,697.4497556520397,1157.7905568105484,14.0
3,1800.1198410987854,669.403194360392,1143.3174249374174,15.0
4,1800.025575876236,632.174200031503,1081.458421096026,15.0
5,1800.0819540023804,770.689559443618,1291.1966412677407,15.0
6,1800.1538579463959,646.375152610863,1107.3378842620198,13.0
7,1800.1322388648987,675.9729942097589,1155.6839553290338,13.0
8,1800.1054301261902,601.9832869794618,1054.7911762178323,14.0
9,1800.222321987152,644.829246102944,1115.0830848842243,13.0
10,1800.1340701580048,758.7688641201744,1296.7013425310752,15.0
11,1800.0379729270935,641.3108037876875,1131.8985439586488,13.0
12,1800.0271770954132,710.5869308083918,1198.759636676786,14.0
13,1800.0288150310516,806.4845347383688,1313.4788951509913,15.0
14,1800.0576519966125,838.4314551695248,1330.0823816176405,15.0
15,1800.1634039878845,607.6177857678408,1040.9782009590078,13.0
16,1800.096137046814,798.5519016246257,1371.3121605269057,16.0
17,1800.038584947586,682.6213098340943,1167.8662119450298,13.0
18,1800.0911622047424,623.1070384183705,1115.7399281783728,14.0
19,1800.160875082016,816.1604113104808,1311.8993896658862,15.0
