,time,result,fleet size
0,300,3755.02270431541,14
1,300,3820.0101622230645,14
2,300,3225.755703216766,14
3,300,3808.009153724404,14
4,300,3982.0850734778123,14
5,300,3633.323186300304,14
6,300,3859.694994176724,14
7,300,3479.0569481783523,14
8,300,3598.368616638,14
9,300,3848.7790778286553,14
10,300,3496.1389854580702,14
11,300,3702.7095330067805,14
12,300,3535.4077174047284,14
13,300,3752.5128074655795,14
14,300,3727.3317303135505,14
15,300,3567.6207796268845,14
16,300,3512.603170468348,14
17,300,3656.5975478952064,14
18,300,3687.902214714364,14
19,300,3785.4341084818966,14
20,300,3712.5783817783054,14
21,300,3466.7254482961857,14
22,300,3454.965186910147,14
23,300,3659.842857091218,14
24,300,3501.7674059558854,14
25,300,3446.622405956469,14
26,300,3736.6422640630176,14
27,300,3716.706673105485,14
28,300,3523.1437848910546,14
29,300,3622.7276243881624,15
30,300,3798.4301723652598,14
31,300,3808.1472032919683,14
32,300,3662.5683229356514,14
33,300,3709.7758969245497,14
34,300,3730.789437719549,14
35,300,3564.737180230208,14
36,300,3760.1047534084673,14
37,300,3611.6632160058134,14
38,300,3403.1024687791887,14
39,300,3701.2194753291897,14
40,300,3673.044988943124,14
41,300,3657.079644548744,14
42,300,3496.2653282582887,14
43,300,3676.392628892024,14
44,300,3655.2171954687624,14
45,300,3456.65802478041,14
46,300,3583.9284223294703,14
47,300,3828.2682370085768,14
48,300,3623.9911655730007,14
49,300,3506.2982825408203,14
50,300,3643.7617550824134,14
51,300,3661.142110426255,14
52,300,3653.581310690092,14
53,300,3762.124122021103,14
54,300,3657.587373772007,14
55,300,3734.8079448060785,14
56,300,3917.478870268459,14
57,300,3793.696940641475,14
58,300,3719.92706715511,14
59,300,3650.656987053822,14
60,300,3740.8959254758165,14
61,300,3707.8656554254253,14
62,300,3831.0264928491274,14
63,300,3679.669582724144,14
64,300,3707.364626181661,14
65,300,3693.883084743634,14
66,300,3751.3867917291695,14
67,300,3504.137723401172,14
68,300,3739.8723042973743,14
69,300,3692.6172304127203,14
70,300,3605.396929287585,14
71,300,3488.41277450646,14
72,300,3638.4105946110717,14
73,300,3513.900898610313,14
74,300,3659.7625557242295,14
75,300,3565.2126698902093,14
76,300,3439.2715857020225,14
77,300,3526.7655692028698,14
78,300,3767.088021457864,14
79,300,3674.7318509606516,14
80,300,3723.602105306851,14
81,300,3589.6417453681147,14
82,300,3633.2178279886507,14
83,300,3570.8005808104645,14
84,300,3538.4739695318335,14
85,300,3471.945622726155,14
86,300,3599.638022128175,14
87,300,3771.0173966629222,14
88,300,3823.158026349276,14
89,300,3794.8514322500123,14
90,300,3452.3038966475006,14
91,300,3763.693291847982,14
92,300,3871.4755965857776,14
93,300,3593.6023525063592,14
94,300,3823.697589055415,14
95,300,3909.218888782333,14
96,300,3544.44880645532,14
97,300,3571.4856903196337,14
98,300,3703.2979580081087,14
99,300,3777.3304056786737,14
100,300,3847.837182700226,14
101,300,3737.92185533968,14
102,300,3918.4523847519536,14
103,300,3702.359762421596,14
104,300,3741.4213447673146,14
105,300,3574.637106946607,14
106,300,3785.7658482372844,14
107,300,3962.062399835766,14
108,300,3763.190049188911,14
109,300,3687.0240890505497,14
110,300,3606.797285705432,14
111,300,3812.839527190265,14
112,300,3788.7055075220887,14
113,300,4093.7669910763716,14
114,300,3781.2039031163495,14
115,300,3768.446007946703,14
116,300,3973.9209816015486,14
117,300,3575.3907077050208,14
118,300,3707.649774394252,14
119,300,3617.4736791025875,14
120,300,3705.752359272603,14
121,300,3746.2571798975,14
122,300,3658.659855610496,14
123,300,3575.2064301074024,14
124,300,3783.1345456705194,14
125,300,3541.5139445068166,14
126,300,3685.6103823336016,14
127,300,3532.9811929832795,14
128,300,3437.839536224492,14
129,300,3785.781041307199,14
130,300,3757.574664099012,14
131,300,3738.313741112315,14
132,300,3754.2611683684854,14
133,300,3639.459316052383,14
134,300,3912.760477392895,14
135,300,3572.339004934271,14
136,300,3818.994498556025,14
137,300,3701.942820999035,14
138,300,3708.060188764945,14
139,300,3696.6333104998394,14
140,300,3572.843367083977,14
141,300,3867.8092745339104,14
142,300,3817.985208031898,14
143,300,3841.77978590851,14
144,300,3680.0037943157076,14
145,300,3868.988486823376,14
146,300,3638.7285173424425,14
147,300,3655.5764559342406,14
148,300,3649.877423445382,14
